name,color,description,TasselColor1,TasselColor2,TasselColor3
Shiny Pink Graduation Gown,Pink,Shiny Pink Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Pink shiny tricot fabric  &bull;Durable zipper in matching Pink color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Red Graduation Gown,Red,Shiny Red Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Red shiny tricot fabric  &bull;Durable zipper in matching Red color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Maroon Graduation Gown,Maroon,Shiny Maroon Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Maroon shiny tricot fabric  &bull;Durable zipper in matching Maroon color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Brown Graduation Gown,Brown,Shiny Brown Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Brown shiny tricot fabric  &bull;Durable zipper in matching Brown color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Green Graduation Gown,Green,Shiny Green Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Green shiny tricot fabric  &bull;Durable zipper in matching Green color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Emerald Green Graduation Gown,Green,Shiny Emerald Green Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Emerald Green shiny tricot fabric  &bull;Durable zipper in matching Emerald Green color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Hunter Green Graduation Gown,Hunter Green,Shiny Hunter Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Hunter shiny tricot fabric  &bull;Durable zipper in matching Hunter color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Black Graduation Gown,Black,Shiny Black Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Black shiny tricot fabric  &bull;Durable zipper in matching Black color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte White Graduation Gown,White,Matte White Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching white color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Royal Blue Graduation Gown,Royal Blue,Matte Royal Blue Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Royal Blue color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Navy Blue Graduation Gown,Navy Blue,Matte Navy Blue Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Navy Blue color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Purple Graduation Gown,Purple,Matte Purple Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Purple color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Gold Graduation Gown,Gold,Matte Gold Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Gold color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Red Graduation Gown,Red,Matte Red Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Red color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Maroon Graduation Gown,Maroon,Matte Maroon Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Maroon color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Green Graduation Gown,Green,Matte Green Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Green color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Emerald Green Graduation Gown,Green,Matte Emerald Green Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Emerald Green color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Hunter Graduation Gown,,Matte Hunter Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Hunter color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Matte Black Graduation Gown ,Black,Matte Black Gown. Graduation World's Matte Black Gown will look striking on graduates of all ages. Our elegent and stylish matte Black gown is made from fine polyester non see through fabric and comes complete with a pleated yoke and an easy and durable zipper. Order this classic gown now to look and feel the part on graduation day and enjoy our best pricing!   Matte Black Gown. Matte Black Graduation Gown  &bull;Classy matte finished fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Black color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
White Child Graduation Gown,White,White Children's Gown  &bull;Shiny white tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching white color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Silver Child Graduation Gown,Silver,Silver Children's Gown  &bull;Shiny Silver tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Silver color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Light Blue Child Graduation Gown,Light Blue,Light Blue Children's Gown  Child Graduation Gown  &bull;Shiny Light Blue tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Light Blue color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Royal Blue Child Graduation Gown,Royal Blue,Royal Blue Children's Gown  &bull;Shiny Royal Blue tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Royal Blue color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Navy Blue Child Graduation Gown,Navy Blue,Navy Blue Children's Gown  &bull;Shiny Navy Blue tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Navy Blue color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Purple Child Graduation Gown,Purple,Purple Children's Gown  &bull;Shiny Purple tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Purple color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Gold Child Graduation Gown,Gold,Gold Children's Gown  &bull;Shiny Gold tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Gold color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Orange Child Graduation Gown,Orange,Orange Children's Gown  &bull;Shiny Orange tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Orange color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Pink Child Graduation Gown,Pink,Pink Children's Gown  &bull;Shiny Pink tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Pink color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Child Red Graduation Gown,Red,Red Children's Gown. Give your children the graduation they deserve by purchasing Graduation World's Red Children's Gown. Children will enjoy the full celebration of graduation day when dressed in high quality trilcot Red graduation gowns with an easy zip up front and fine pleated detail. Enjoy extra discounts when ordered in bulk!  Red Children's Gown  &bull;Shiny Red tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Red color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Maroon Child Graduation Gown,Maroon,Maroon Children's Gown  &bull;Shiny Maroon tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Maroon color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Brown Child Graduation Gown,Brown,Brown Children's Gown  &bull;Shiny Brown tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Brown color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Children's Green Graduation Gown ,Green,Green Children's Gown. Give your children the graduation they deserve by purchasing Graduation World's Green Children's Gown. Children will enjoy the full celebration of graduation day when dressed in high quality trilcot Green graduation gowns with an easy zip up front and fine pleated detail. Enjoy extra discounts when ordeGreen in bulk!  Green Children's Gown  &bull;Shiny Green tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Green color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Emerald Green Child Graduation Gown,Green,Emerald Green Children's Gown  &bull;Shiny Emerald Green tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Emerald Green color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Hunter Green Child Graduation Gown,Hunter Green,Hunter Children's Gown. Give your children the graduation they deserve by purchasing Graduation World's Hunter Children's Gown. Children will enjoy the full celebration of graduation day when dressed in high quality trilcot Hunter graduation gowns with an easy zip up front and fine pleated detail. Enjoy extra discounts when ordeHunter in bulk!  Hunter Children's Gown  &bull;Shiny Hunter tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Hunter color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Child Graduation Gown Black,Black,Children's Gown Black; Child Graduation Gown Black    Black Children's Gown. Give your children the graduation they deserve by purchasing Graduation World's Black Children's Gown. Children will enjoy the full celebration of graduation day when dressed in high quality trilcot Black graduation gowns with an easy zip up front and fine pleated detail. Enjoy extra discounts when ordeBlack in bulk!    &bull;Shiny Black tricot fabric  &bull;Reinforced stitching throughout the gown  &bull;Each gown is individually packaged in a bag  &bull;Durable zipper in matching Black color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Deluxe Master Graduation Gown,,Deluxe Masters Gown. Deluxe Master Graduation Gown.  Deluxe Master Gown. Crafted from the highest quality crease resistant fabric; the Deluxe Master Gown will give you the comfort and confidence that you look great on graduation day. Graduation World's Deluxe Master Gown combines quality and value for money to give you the perfect ceremony. Order your gown now; and get the very best to celebrate your achievement!  &bull;Premium matte finished fabric for a classic and prestigious look  &bull;Crease resistant and lightweight high quality fabric  &bull;Deluxe fluting detail along shoulders and yoke  &bull;Hidden zipper with hook eye clasp at the top  &bull;Traditional oblong sleeves with wrist opening  &bull;Pressed pleated front and back detailing  &bull;Detailed neck design with button to attache academic hood,,,
Deluxe Doctor Graduation Gown,,Deluxe Doctoral Gown. Graduation World's Deluxe Doctoral Gown is a product crafted of the finest fabrics. Combining lightweight and comfortable matte fabric and velvet yoke and front and back panals; this gown is designed with quality in mind and can be bought at affordable prices. If you want to look the best for academic ceremonies; this is certainly the product for you! Deluxe Doctoral Gown. Deluxe Doctor Graduation Gown. &bull;Premium matte finished fabric for a classic and prestigious look &bull;Tailored to be comfortable and lightweight &bull;Four ince wide velvet front and back yoke panels &bull;Two ince wide triple velvet chevron sleeve panels &bull;Traditional bell gathered sleeves &bull;Pressed pleated front and back detailing &bull;Detailed neck design with button to attache academic hood,,,
Shiny White Elementary Graduation Gown,White,&bull; Shiny white tricot fabric&bull; Fitted yoke with piped V-neckline&bull; Full front zipper in white&bull; Comfortable design and fit&bull; With two front box pleats&bull; Durable due to reinforced stitching&bull; Available in other colors&bull; Comes in many different sizes,,,
Shiny White Middle School and Junior High Graduation Gown,White,&bull; Shiny white tricot fabric&bull; Fitted yoke with piped V-neckline&bull; Full front zipper in white&bull; Comfortable design and fit&bull; With two front box pleats&bull; Durable due to reinforced stitching&bull; Available in other colors&bull; Comes in many different sizes,,,
Shiny White High School Graduation Gown,White,&bull; Shiny white tricot fabric&bull; Fitted yoke with piped V-neckline&bull; Full front zipper in white&bull; Comfortable design and fit&bull; With two front box pleats&bull; Durable due to reinforced stitching&bull; Available in other colors&bull; Comes in many different sizes,,,
Shiny White Faculty Staff Graduation Gown,White,&bull; Shiny white tricot fabric&bull; Fitted yoke with piped V-neckline&bull; Full front zipper in white&bull; Comfortable design and fit&bull; With two front box pleats&bull; Durable due to reinforced stitching&bull; Available in other colors&bull; Comes in many different sizes,,,
Shiny White Technical and Vocational Graduation Gown,White,&bull; Shiny white tricot fabric&bull; Fitted yoke with piped V-neckline&bull; Full front zipper in white&bull; Comfortable design and fit&bull; With two front box pleats&bull; Durable due to reinforced stitching&bull; Available in other colors&bull; Comes in many different sizes,,,
Shiny White College and University Graduation Gown,White,&bull; Shiny white tricot fabric&bull; Fitted yoke with piped V-neckline&bull; Full front zipper in white&bull; Comfortable design and fit&bull; With two front box pleats&bull; Durable due to reinforced stitching&bull; Available in other colors&bull; Comes in many different sizes,,,
Shiny White Bachelor Graduation Gown,White,&bull; Shiny white tricot fabric&bull; Fitted yoke with piped V-neckline&bull; Full front zipper in white&bull; Comfortable design and fit&bull; With two front box pleats&bull; Durable due to reinforced stitching&bull; Available in other colors&bull; Comes in many different sizes,,,
Shiny Silver Elementary Graduation Gown,Silver,&bull; Silver high quality shiny tricot fabric&bull; V-neckline with piping&bull; Front flat pleats and front zipper&bull; Fitted yoke with ruched back design&bull; Long sleeves with piping&bull; Reinforced stitching for added durability&bull; Can be ordered in a variety of sizes&bull; Comes other color options,,,
Shiny Silver Middle School and Junior High Graduation Gown,Silver,&bull; Silver high quality shiny tricot fabric&bull; V-neckline with piping&bull; Front flat pleats and front zipper&bull; Fitted yoke with ruched back design&bull; Long sleeves with piping&bull; Reinforced stitching for added durability&bull; Can be ordered in a variety of sizes&bull; Comes other color options,,,
Shiny Silver High School Graduation Gown,Silver,&bull; Silver high quality shiny tricot fabric&bull; V-neckline with piping&bull; Front flat pleats and front zipper&bull; Fitted yoke with ruched back design&bull; Long sleeves with piping&bull; Reinforced stitching for added durability&bull; Can be ordered in a variety of sizes&bull; Comes other color options,,,
Shiny Silver Faculty Staff Graduation Gown,Silver,&bull; Silver high quality shiny tricot fabric&bull; V-neckline with piping&bull; Front flat pleats and front zipper&bull; Fitted yoke with ruched back design&bull; Long sleeves with piping&bull; Reinforced stitching for added durability&bull; Can be ordered in a variety of sizes&bull; Comes other color options,,,
Shiny Silver Technical and Vocational Graduation Gown,Silver,&bull; Silver high quality shiny tricot fabric&bull; V-neckline with piping&bull; Front flat pleats and front zipper&bull; Fitted yoke with ruched back design&bull; Long sleeves with piping&bull; Reinforced stitching for added durability&bull; Can be ordered in a variety of sizes&bull; Comes other color options,,,
Shiny Silver College and University Graduation Gown,Silver,&bull; Silver high quality shiny tricot fabric&bull; V-neckline with piping&bull; Front flat pleats and front zipper&bull; Fitted yoke with ruched back design&bull; Long sleeves with piping&bull; Reinforced stitching for added durability&bull; Can be ordered in a variety of sizes&bull; Comes other color options,,,
Shiny Silver Bachelor Graduation Gown,Silver,&bull; Silver high quality shiny tricot fabric&bull; V-neckline with piping&bull; Front flat pleats and front zipper&bull; Fitted yoke with ruched back design&bull; Long sleeves with piping&bull; Reinforced stitching for added durability&bull; Can be ordered in a variety of sizes&bull; Comes other color options,,,
Shiny Light Blue Elementary Graduation Gown,Light Blue,&bull; Light Blue shiny tricot non-see through fabric&bull; Designed with comfort in mind&bull; Fitted yoke with ruched back for excellent fit even with clothes underneath&bull; Pleated front also for comfort as well as fashionability&bull; V-shaped neckline with piping&bull; Durable reinforced stitching&bull; Can be ordered in many different sizes&bull; Also available in other shades of blue and other colors,,,
Shiny Light Blue Middle School and Junior High Graduation Gown,Light Blue,&bull; Light Blue shiny tricot non-see through fabric&bull; Designed with comfort in mind&bull; Fitted yoke with ruched back for excellent fit even with clothes underneath&bull; Pleated front also for comfort as well as fashionability&bull; V-shaped neckline with piping&bull; Durable reinforced stitching&bull; Can be ordered in many different sizes&bull; Also available in other shades of blue and other colors,,,
Shiny Light Blue High School Graduation Gown,Light Blue,&bull; Light Blue shiny tricot non-see through fabric&bull; Designed with comfort in mind&bull; Fitted yoke with ruched back for excellent fit even with clothes underneath&bull; Pleated front also for comfort as well as fashionability&bull; V-shaped neckline with piping&bull; Durable reinforced stitching&bull; Can be ordered in many different sizes&bull; Also available in other shades of blue and other colors,,,
Shiny Light Blue Faculty Staff Graduation Gown,Light Blue,&bull; Light Blue shiny tricot non-see through fabric&bull; Designed with comfort in mind&bull; Fitted yoke with ruched back for excellent fit even with clothes underneath&bull; Pleated front also for comfort as well as fashionability&bull; V-shaped neckline with piping&bull; Durable reinforced stitching&bull; Can be ordered in many different sizes&bull; Also available in other shades of blue and other colors,,,
Shiny Light Blue Technical and Vocational Graduation Gown,Light Blue,&bull; Light Blue shiny tricot non-see through fabric&bull; Designed with comfort in mind&bull; Fitted yoke with ruched back for excellent fit even with clothes underneath&bull; Pleated front also for comfort as well as fashionability&bull; V-shaped neckline with piping&bull; Durable reinforced stitching&bull; Can be ordered in many different sizes&bull; Also available in other shades of blue and other colors,,,
Shiny Light Blue College and University Graduation Gown,Light Blue,&bull; Light Blue shiny tricot non-see through fabric&bull; Designed with comfort in mind&bull; Fitted yoke with ruched back for excellent fit even with clothes underneath&bull; Pleated front also for comfort as well as fashionability&bull; V-shaped neckline with piping&bull; Durable reinforced stitching&bull; Can be ordered in many different sizes&bull; Also available in other shades of blue and other colors,,,
Shiny Light Blue Bachelor Graduation Gown,Light Blue,&bull; Light Blue shiny tricot non-see through fabric&bull; Designed with comfort in mind&bull; Fitted yoke with ruched back for excellent fit even with clothes underneath&bull; Pleated front also for comfort as well as fashionability&bull; V-shaped neckline with piping&bull; Durable reinforced stitching&bull; Can be ordered in many different sizes&bull; Also available in other shades of blue and other colors,,,
Shiny Royal Blue Elementary School Graduation Gown,Royal Blue,&bull; Shiny tricot fabric in royal blue&bull; V-neckline with piped edges&bull; Fitted yoke design with ruched back&bull; Full front zipper in royal blue&bull; Two center box pleats in front&bull; With reinforced stitching for durability&bull; Also in other colors&bull; Choose from many different sizes,,,
Shiny Royal Blue Middle School and Junior High Graduation Gown,Royal Blue,&bull; Shiny tricot fabric in royal blue&bull; V-neckline with piped edges&bull; Fitted yoke design with ruched back&bull; Full front zipper in royal blue&bull; Two center box pleats in front&bull; With reinforced stitching for durability&bull; Also in other colors&bull; Choose from many different sizes,,,
Shiny Royal Blue High School Graduation Gown,Royal Blue,&bull; Shiny tricot fabric in royal blue&bull; V-neckline with piped edges&bull; Fitted yoke design with ruched back&bull; Full front zipper in royal blue&bull; Two center box pleats in front&bull; With reinforced stitching for durability&bull; Also in other colors&bull; Choose from many different sizes,,,
Shiny Royal Blue Faculty Staff Graduation Gown,Royal Blue,&bull; Shiny tricot fabric in royal blue&bull; V-neckline with piped edges&bull; Fitted yoke design with ruched back&bull; Full front zipper in royal blue&bull; Two center box pleats in front&bull; With reinforced stitching for durability&bull; Also in other colors&bull; Choose from many different sizes,,,
Shiny Royal Blue Technical and Vocational Graduation Gown,Royal Blue,&bull; Shiny tricot fabric in royal blue&bull; V-neckline with piped edges&bull; Fitted yoke design with ruched back&bull; Full front zipper in royal blue&bull; Two center box pleats in front&bull; With reinforced stitching for durability&bull; Also in other colors&bull; Choose from many different sizes,,,
Shiny Royal Blue College and University Graduation Gown,Royal Blue,&bull; Shiny tricot fabric in royal blue&bull; V-neckline with piped edges&bull; Fitted yoke design with ruched back&bull; Full front zipper in royal blue&bull; Two center box pleats in front&bull; With reinforced stitching for durability&bull; Also in other colors&bull; Choose from many different sizes,,,
Shiny Royal Blue Bachelor Graduation Gown,Royal Blue,&bull; Shiny tricot fabric in royal blue&bull; V-neckline with piped edges&bull; Fitted yoke design with ruched back&bull; Full front zipper in royal blue&bull; Two center box pleats in front&bull; With reinforced stitching for durability&bull; Also in other colors&bull; Choose from many different sizes,,,
Shiny Navy Blue Elementary Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue Middle School and Junior High Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue High School Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue Faculty Staff Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue Technical and Vocational Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue College and University Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue Bachelor Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Purple Elementary Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple Middle School and Junior High Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple High School Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple Faculty Staff Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple Technical and Vocational Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
